,user_id,doc_id,query
117,93,FT934-9396,YORKSHIRE NATIONAL MR
118,21,FBIS4-47649,AMMAN YEMEN SANAA JORDANIAN YEMENI
119,92,FT944-10007,NORTHUMBRIAN POUNDS BROWN TUESDAY
120,24,FT943-884,CHRISTOPHER HANSON COLLINS
121,70,LA120190-0108,EDWARDS VIKINGS LA
122,76,FBIS3-49066,COURT ALBANIANS KOSOVA ETHNIC SERBIAN
123,67,FT924-10406,ELLERY SUDDENLY
124,35,LA050690-0011,DIEGO COUNTY
125,39,FBIS3-26644,CCCMPS CENTRAL REN JIANXIN COMMITTEE
126,30,LA042089-0205,REILLY PROTECTION AGENCY EPA ADMINISTRATOR
127,47,FBIS4-51698,NADK ROUTE PROVINCE DIVISION
128,71,FBIS4-38566,DISCUSSION UKRAINIAN CONTINUE
129,8,FT921-4678,MR CONSERVATIVE BENYON MP TORY
130,13,FT934-9396,MR YORKSHIRE BAKER NOTTINGHAMSHIRE
131,16,LA041389-0183,SOUTH PASADENA BERNARDI EFFICIENT JOHN
132,76,FBIS4-9718,SCN CONGRESS FINANCE TEGUCIGALPA
133,55,FT922-306,FINNISH SAMPO
134,63,LA041389-0183,SOUTH
135,15,FBIS4-53502,NORTH WEDNESDAY KOREAN OFFER
136,18,FBIS3-45990,CHEN
137,63,FBIS4-12096,PALESTINIAN ISRAELI COMMITTEE SECURITY CIVILIAN
138,48,FT941-192,OSCAR MALAYSIA
139,55,LA100389-0056,VALLEY
140,19,FT933-3294,DISAPPOINTING STREET PAGE WALL
141,69,LA051490-0101,BOWMAN POOR STANDARD
142,61,FT944-7278,INSTITUTE BIOTECHNOLOGY CAMBRIDGE BRITISH TECHNOLOGY
143,58,FBIS3-33193,GORTARI
144,21,FBIS3-26109,XINHUA CODE
145,30,LA061189-0066,BRITISH WILSON BRITAIN LICENCE KILL
146,21,LA100389-0056,IRVINE ORANGE
147,31,FBIS3-45990,CHEN CHINA STATES
148,19,FBIS4-34282,PEREZ CUELLAR PERU JULY FUJIMORI
149,3,LA061189-0066,BRITISH KILL LICENCE BRITAIN
150,2,FBIS4-35147,RESPONSIBILITY LIBERATION CHIAPAS
151,14,LA120190-0108,EDWARDS
152,56,LA011589-0133,CUBA CUBAN CASTRO
153,35,LA110890-0004,STATE REAGAN BUILDING
154,82,FBIS4-12096,CIVILIAN PALESTINIAN
155,76,FBIS3-6011,JAPAN TAKEMURA MOTOROLA
156,86,FBIS4-67337,DIAS
157,69,LA042089-0205,AGENCY REILLY ADMINISTRATOR
158,91,FBIS3-33193,MEXICAN
159,38,LA051789-0007,PAUL
160,72,FT933-12437,BELGIAN GORAZDZE STRZELCE POLAND
161,30,FBIS4-12096,CIVILIAN SECURITY COMMITTEE
162,3,FT921-4678,TORY CONSERVATIVE MR
163,95,FBIS3-26644,COMMITTEE CENTRAL CCCMPS
164,53,FT941-5416,JANUARY
165,1,LA102890-0011,RECORDS
166,17,FBIS3-28421,FEBRUARY EXPRESSES KIM
167,61,LA022690-0035,CHANNELS
168,9,FT921-4678,TORY CONSERVATIVE MP
169,80,FT941-988,BORIS BLACK SEA
170,75,LA101890-0061,REPUBLICANS
171,67,FBIS3-28421,KIM NATIONAL ASSEMBLY FEBRUARY EXPRESSES
172,83,FT924-5210,BARBADOS TATE BOOKER
173,92,FT943-6956,ENGLAND SOUTH AFRICA EDGBASTON BIRMINGHAM
174,15,LA010689-0065,DOREN VAN CABRILLO
175,78,FT921-8719,HADAS MEXICO
176,24,FBIS3-59533,GALILEO
177,46,LA011589-0133,CUBAN CASTRO
178,32,FT933-1280,AUSTRIA CDOLLARS
179,74,LA021389-0034,FORCE NORTON
180,16,FT941-192,HOLOCAUST MALAYSIA
181,57,LA010590-0070,ALBANIANS FEDERAL BUILDING WESTWOOD THURSDAY
182,34,FT924-11359,AMERICAN EXPRESS OGILVY CHIAT DAY
183,71,FBIS3-49066,COURT
184,70,LA101689-0071,CIVIC SANTA
185,40,FBIS4-54681,SALE MEISSNER
186,41,FBIS3-17404,TAJIK RUSSIAN SAMADOV
187,51,FBIS3-49066,ALBANIANS SERBIAN
188,14,FT932-13625,FRANCE DOLLARS
189,75,FT934-11574,QUEENS MARCH HOUSES MOAT
190,53,LA122789-0023,GOODWILL RUTH STEINMETZ PRESIDENT INDUSTRIES
191,13,FT933-12437,GORAZDZE
192,34,LA051789-0007,STREET PAUL SOUTHEAST
193,50,FT932-15678,RETROVIR
194,33,LA061189-0151,CRISTIANI UNGO QUAYLE
195,31,LA102890-0011,PACKERS PALMER HOLLYWOOD DON
196,20,FT941-17003,STREET PAPER WALL NYSE
197,67,LA061189-0151,SALVADOR
198,21,FT923-13298,FRANKFURT MR
199,11,FBIS4-54346,GNP KOREA BOK MARCH JANUARY-MARCH
200,51,LA060289-0141,SIMMONS CALIFORNIA
201,20,LA110890-0004,REAGAN STATE DEDICATES BUILDING PRESIDENT
202,34,FT924-10406,ELLERY SOL LIVERPOOL ARSENAL
203,43,LA120190-0108,VIKINGS ALFORD LA
204,82,LA010590-0070,ALBANIANS FEDERAL BUILDING WESTWOOD THURSDAY
205,24,FT923-13298,ECB MR LONDON EUROPEAN
206,22,FT941-17003,DOLLARS PAPER WALL
207,7,FBIS4-54681,BURMA VIEWED
208,33,FT943-6956,AFRICA
209,13,FBIS4-63299,BLACK SEA KUZNETSOV
210,25,LA101890-0061,REPUBLICANS DEMOCRATS PRESIDENT
211,62,FT933-3294,DISAPPOINTING WALL STREET DOW PAGE
212,96,FT933-3294,DOW WALL STREET PAGE
213,86,LA101689-0071,CIVIC ORANGE
214,96,FT932-622,THURSDAY
215,65,FT944-7278,BIOTECHNOLOGY TECHNOLOGY BRITISH
216,26,FT921-4678,TORY BENYON
217,43,FT933-1280,EUROPEAN CDOLLARS MAGNA AUSTRIA
218,66,FT932-622,JUNE GERMANY UK THURSDAY BUNDESBANK
219,77,FBIS3-28421,NATIONAL
220,54,LA101890-0061,REPUBLICANS HOUSE PRESIDENT DEMOCRATS
221,91,FBIS3-45990,CHINA LIU CHEN AIG STATES
222,41,FT924-5210,CARIBBEAN
223,73,LA061189-0151,QUAYLE
224,69,FBIS3-26644,COMMITTEE
225,40,FT922-2583,LONDON TOP-LEVEL TOP JOINT SITES
226,80,FT921-8719,HADAS MANZANILLO MEXICO LAS
227,68,FT932-15678,CLINTON FT WELLCOME UK
228,1,LA021389-0034,REP BROWN NORTON FORCE
229,99,FT921-4678,MP TORY BENYON
230,6,FBIS3-45990,STATES CHEN CHINA AIG
231,65,FBIS3-46903,CAMBODIAN COMMENTS NSC GOVERNMENT
232,72,FT941-5416,RELATIONS SERVICES
233,74,FBIS4-63299,BLACK KUZNETSOV SEA UKRAINIAN
234,92,FT922-306,UNION FINLAND
235,8,FT932-8178,BSKYB MEAD GARY STANDARDS
236,30,FT932-622,UK
237,58,FT922-6700,AEG
238,90,FT924-10828,ZOVIRAX DEMOCRATIC
239,90,FT921-13446,SWEDEN BRITISH NETHERLANDS POUNDS
240,54,FBIS3-46903,CAMBODIAN HOUSE NSC
241,22,FT921-13446,BRITISH NETHERLANDS
242,29,FT924-1857,ENGLAND LORD MACKAY
243,16,FT943-9028,DOLLARS YORK THURSDAY EXCHANGE
244,53,LA060289-0141,CALIFORNIA
245,54,FT941-325,NARODNY MOSCOW LONDON
246,65,FBIS4-63299,KUZNETSOV SEA BLACK UKRAINIAN
247,53,LA091690-0028,IRAQI QUAYLE
248,14,FBIS3-33193,ARMY SALINAS CHIAPAS GORTARI MEXICAN
249,29,FBIS4-52832,MITI STATES
250,84,FT931-10162,DAVID MR
251,1,FT933-3294,DISAPPOINTING WALL STREET DOW PAGE
252,11,FBIS3-2118,EXPECTS FOREIGN TIANJIN
253,60,FBIS3-27804,PRESIDENT
254,20,FBIS4-49673,PACIFIC AUSTRALIA TIAN
255,8,FT941-17003,DOLLARS
256,43,FT932-15678,RETROVIR WELLCOME
257,36,FBIS3-59533,OTO EFIM
258,29,FT921-4678,CONSERVATIVE TORY BENYON
259,91,FBIS3-941,SAP
260,86,FT924-10828,JULY ZOVIRAX
261,66,FT941-5416,SERVICES
262,13,LA120190-0108,JOLLA ALFORD
263,75,FT932-8178,MEAD BROADCASTING STANDARDS
264,39,LA011589-0133,SOVIETS CUBAN
265,69,LA010889-0044,RUE ESSEL SENNEVILLE TURBIGO
266,28,FBIS3-27804,PRESIDENT DELEGATION FRIDAY
267,60,FBIS4-54346,KOREA JANUARY-MARCH BOK MARCH
268,33,FBIS3-26109,CODE MAILBOX CHINA DISCUSSES
269,88,FT943-884,HANSON POUNDS MR CHRISTOPHER COLLINS
270,58,FT941-988,BORIS YELTSIN
271,23,FT933-8371,FNAC PHENIX GMF FRANCE
272,96,FT932-2039,COLLEGE
273,83,FT941-988,AP SEA BORIS YELTSIN
274,19,FT943-8335,EUROPE EUROPEAN BRITAIN
275,36,FBIS3-6011,JAPAN PHONE
276,33,FT922-2583,TOP SITES LONDON TOP-LEVEL
277,61,FBIS3-46903,GOVERNMENT NSC
278,63,FT924-5210,BARBADOS BOOKER TATE
279,57,LA051490-0101,POOR WALL
280,89,FT924-5210,BOOKER GUYANA
281,60,FT932-15678,RETROVIR
282,56,FBIS4-51698,ROUTE DIVISION APRIL
283,25,FT934-9396,MR
284,11,FT942-7808,SOUTHERN GROUP WILLIAM
285,98,LA061189-0151,EL UNGO CRISTIANI
286,84,FBIS4-38566,UKRAINIAN
287,97,FBIS3-59533,MOVE EFIM OTO
288,22,LA011589-0133,CUBA CUBAN SOVIETS SOVIET
289,40,LA110389-0020,THURSDAY WEEKS ANTELOPE LANCASTER
290,74,FT932-15678,RETROVIR
291,98,LA060289-0141,CHULA CALIFORNIA SIMMONS THURSDAY HIGHWAY
292,65,FBIS3-49066,COURT ALBANIANS KOSOVA ETHNIC SERBIAN
293,66,FBIS3-28421,ASSEMBLY KIM FEBRUARY NATIONAL
294,33,FBIS4-49673,SOUTH CHINA
295,21,FT924-1857,MACKAY LAW
296,28,FT931-8400,DIAGHILEV
297,30,FBIS4-47649,YEMEN JORDANIAN SANAA YEMENI
298,64,LA101890-0061,BUSH
299,36,LA021389-0034,AIR REP NORTON BROWN
300,31,FBIS3-941,SOUTH SOUTH AFRICAN POLICE AFRICAN
301,31,FT943-884,MR HANSON POUNDS COLLINS
302,80,FBIS4-54681,MEISSNER
303,69,FT924-10406,ELLERY LIVERPOOL SOL ARSENAL
304,90,FT924-1857,MACKAY LORD LAW ENGLAND
305,97,FBIS3-27804,IL-SONG DELEGATION FRIDAY
306,85,FBIS4-9718,CONGRESS TEGUCIGALPA FINANCE POLICE SCN
307,42,FBIS3-46903,CAMBODIAN NSC HOUSE GOVERNMENT
308,27,FT921-8719,LAS MEXICAN
309,73,FBIS4-34282,JULY
310,43,FT911-2568,MR
311,55,FT921-4678,MR MP BENYON CONSERVATIVE
312,53,LA061189-0066,BRITISH WILSON BRITAIN LICENCE KILL
313,99,LA102890-0011,HOLLYWOOD
314,34,FT922-306,FINLAND
315,67,FT944-6308,BTR MARCH
316,65,FT923-13298,FRANKFURT ECB EUROPEAN
317,60,LA120190-0108,EDWARDS VIKINGS
318,97,FBIS3-941,SOUTH SAP SOUTH AFRICAN POLICE
319,79,FBIS3-26109,XINHUA MAILBOX DISCUSSES
320,6,FT911-2568,KURDISH SADDAM MR IRAQ KURDS
321,19,FT924-13307,GLOWING RAPID
322,19,FT933-12437,GORAZDZE STRZELCE CBR POLAND BELGIAN
323,58,FBIS4-34282,PEREZ PERU
324,97,LA060289-0141,HIGHWAY THURSDAY
325,34,FT941-192,MR MALAYSIA OSCAR-WINNING OSCAR HOLOCAUST
326,40,FT933-12437,GORAZDZE STRZELCE POLAND BELGIAN
327,33,LA041389-0183,SOUTH PASADENA BERNARDI EFFICIENT JOHN
328,86,FBIS3-26644,JIANXIN
329,58,FT924-13307,TURNOVER GRANTED GLOWING
330,28,FT934-9396,YORKSHIRE MR
331,51,FT932-15678,CLINTON
332,84,LA050690-0011,SATURDAY DIEGO ANGELES COUNTY
333,46,FT922-6700,AEG DAIMLER DAIMLER-BENZ
334,82,LA122789-0023,RUTH INDUSTRIES STEINMETZ GOODWILL
335,61,FBIS3-59533,MOVE
336,34,LA100389-0056,EL
337,28,FBIS4-49673,CHINA
338,30,FBIS4-52832,JAPAN STATES UNITED
339,48,FT932-10956,LINE ROYAL
340,53,FBIS3-45990,STATES CHEN
341,54,FBIS3-59533,EFIM GALILEO OTO
342,35,LA091089-0086,SPARKS GRIFFIN
343,31,FT921-4678,CONSERVATIVE MP BENYON MR
344,79,LA110890-0004,PRESIDENT REAGAN STATE BUILDING
345,18,LA010589-0153,WOODBURY BURBANK PRACTICAL VALLEY
346,5,FT933-1280,MAGNA EUROPEAN CDOLLARS AUSTRIA GERMANY
347,9,LA110389-0020,WATTERS WEEKS LANCASTER THURSDAY ANTELOPE
348,74,FBIS3-59533,FINMECCANICA EFIM MOVE GALILEO OTO
349,27,FT932-7171,SOUTH CLEWLOW BARLOW MR
350,75,FT922-6700,AEG STOCKL DAIMLER
351,82,LA022690-0035,DAVID DIE
352,90,FT941-17003,STREET
353,66,FBIS3-46903,CAMBODIAN COMMENTS NSC GOVERNMENT
354,72,LA101689-0071,CALIFORNIA ORANGE
355,80,FT924-13307,TURNOVER LLOYDS GRANTED GLOWING
356,78,FBIS4-54346,GNP JANUARY-MARCH
357,69,FT933-3294,DISAPPOINTING WALL STREET DOW PAGE
358,33,FT933-1280,CDOLLARS AUSTRIA GERMANY EUROPEAN
359,13,FBIS3-5499,NAGASAKI JAPAN SPECIAL INDOCHINESE
360,46,FBIS3-49066,COURT ALBANIANS KOSOVA ETHNIC SERBIAN
361,68,FBIS4-54346,JANUARY-MARCH KOREA
362,68,FT943-9028,DOLLARS EXCHANGE AMERICAN YORK THURSDAY
363,5,FBIS3-49066,ETHNIC KOSOVA SERBIAN
364,69,FBIS3-46903,NSC CAMBODIAN GOVERNMENT HOUSE COMMENTS
365,2,FT924-13307,LLOYDS TURNOVER GRANTED GLOWING RAPID
366,40,FT924-1857,LORD MACKAY BARRISTERS ENGLAND
367,81,FT911-2568,MR IRAQ KURDISH
368,99,FBIS3-941,SAP SOUTH AFRICAN SOUTH AFRICAN POLICE POLICE
369,98,FT934-11574,HOUSES QMH MARCH MOAT
370,97,FBIS3-2118,XINHUA EXPECTS FOREIGN TIANJIN
371,4,FT921-4678,TORY MP
372,62,FT911-2568,KURDISH SADDAM MR IRAQ KURDS
373,10,LA041389-0183,SOUTH PASADENA BERNARDI EFFICIENT JOHN
374,90,LA011589-0133,CASTRO CUBAN SOVIET
375,62,FT933-1280,MAGNA EUROPEAN CDOLLARS AUSTRIA GERMANY
376,37,FBIS4-52832,WTO MITI JAPAN UNITED STATES
377,55,FT932-13625,ACCOR FRENCH DOLLARS FFR870M
378,15,FT942-15432,BUDGET
379,43,FT941-988,SEA AP BORIS
380,79,FT941-192,MR
381,20,FT924-10406,ARSENAL SOL ELLERY SUDDENLY
382,36,FBIS3-28421,ASSEMBLY
383,27,FT932-13625,DOLLARS ACCOR
384,42,LA101890-0061,BUSH PRESIDENT HOUSE REPUBLICANS DEMOCRATS
385,12,FBIS3-17404,RUSSIAN SAMADOV AFGHANISTAN WEST TAJIK
386,87,LA101890-0061,HOUSE REPUBLICANS DEMOCRATS PRESIDENT
387,58,FT941-325,MOSCOW NARODNY LONDON SOVIET
388,99,LA100389-0056,VALLEY ORANGE IRVINE MATTERA
389,77,FBIS4-34282,PEREZ CUELLAR FUJIMORI
390,66,LA042089-0205,REILLY PROTECTION AGENCY EPA ADMINISTRATOR
391,84,FT921-8719,MEXICO MANZANILLO
392,17,FBIS4-53502,KOREAN DPRK
393,67,LA091690-0028,BUSH QUAYLE
394,76,LA010590-0070,ALBANIANS FEDERAL BUILDING WESTWOOD THURSDAY
395,67,FT942-7808,WILLIAM SHAW SOUTHERN BUSINESS GROUP
396,87,FT934-9396,NATIONAL
397,40,LA011589-0133,CUBAN CUBA SOVIETS
398,45,FBIS4-52832,WTO MITI JAPAN UNITED STATES
399,50,LA061189-0151,UNGO CRISTIANI EL
400,12,LA021389-0034,NORTON
401,47,LA122789-0023,GOODWILL RUTH STEINMETZ PRESIDENT INDUSTRIES
402,45,FT923-13298,ECB
403,37,FBIS3-27804,IL-SONG
404,10,FT911-2568,KURDISH SADDAM MR IRAQ KURDS
405,82,FT943-884,HANSON POUNDS MR CHRISTOPHER COLLINS
406,30,FBIS3-2118,CITY XINHUA
407,67,FT924-13307,RAPID GLOWING TURNOVER
408,41,LA101890-0061,REPUBLICANS
409,94,FT923-13298,MR FRANKFURT LONDON
410,90,FBIS3-2118,TIANJIN FOREIGN EXPECTS CITY XINHUA
411,27,FT924-13307,GRANTED TURNOVER LLOYDS GLOWING
412,13,FT932-8178,STANDARDS BSKYB MEAD
413,49,FT933-1280,MAGNA CDOLLARS EUROPEAN
414,7,FBIS3-33193,SALINAS MEXICAN
415,33,FT932-10956,DIRECT
416,76,FT922-6700,MR STOCKL
417,14,FBIS4-67337,PORTUGAL POLICE CUSTOMS DIAS COSTA
418,11,LA091690-0028,IRAQI BUSH
419,69,FBIS3-5499,SPECIAL INDOCHINA INDOCHINESE NAGASAKI JAPAN
420,33,FT931-8400,RUSSIAN DIAGHILEV ROYAL FIREBIRD
421,42,FBIS3-28421,EXPRESSES NATIONAL
422,91,FT941-988,YELTSIN BLACK SEA
423,20,FT924-13307,GRANTED RAPID
424,72,FBIS3-26109,XINHUA MAILBOX DISCUSSES CODE CHINA
425,52,FT933-12437,POLAND BELGIAN
426,18,FBIS4-38566,UKRAINIAN
427,43,LA042089-0205,REILLY PROTECTION
428,62,FT933-12437,CBR STRZELCE BELGIAN POLAND
429,93,FBIS3-28421,FEBRUARY EXPRESSES NATIONAL
430,77,LA010589-0153,BURBANK CONWAY WOODBURY
431,34,FT932-13625,ACCOR FRENCH FRANCE FFR870M DOLLARS
432,98,LA051490-0101,DREXEL BOWMAN STANDARD POOR WALL
433,21,FT922-6700,AEG
434,91,LA061189-0066,KILL
435,97,FBIS4-9718,SCN TEGUCIGALPA CONGRESS
436,100,FBIS4-35147,CHIAPAS RESPONSIBILITY
437,71,FBIS3-45990,AIG LIU
438,61,FBIS3-6011,JAPAN TAKEMURA MONDAY MOTOROLA PHONE
439,21,FBIS3-45990,STATES
440,82,FBIS4-53502,NORTH KOREAN OFFER DPRK WEDNESDAY
441,5,FT943-884,COLLINS HANSON
442,78,FT921-4678,MR CONSERVATIVE BENYON MP TORY
443,36,FBIS4-54681,VIEWED POLISH SALE MEISSNER
444,26,FT924-10828,JULY
445,84,FBIS4-49673,TIAN PACIFIC
446,50,FBIS4-51698,DIVISION ROUTE NADK
447,86,FBIS4-12096,PALESTINIAN SECURITY COMMITTEE
448,4,FT941-192,OSCAR MALAYSIA HOLOCAUST OSCAR-WINNING
449,86,FT923-13298,ECB MR LONDON FRANKFURT EUROPEAN
450,38,FT932-622,UK THURSDAY JUNE BUNDESBANK
451,89,FBIS4-47649,AMMAN SANAA JORDANIAN
452,87,FBIS4-12096,CIVILIAN PALESTINIAN COMMITTEE
453,89,FT941-192,MR MALAYSIA OSCAR-WINNING OSCAR HOLOCAUST
454,51,LA060690-0032,ETTING
455,97,FBIS3-29626,SOGLO BENIN
456,78,FT932-2039,LONDON COLLEGE
457,35,LA091690-0028,BUSH IRAQI PERU WHITE
458,21,FT942-7808,GROUP SHAW BUSINESS
459,85,LA101890-0061,BUSH PRESIDENT HOUSE REPUBLICANS DEMOCRATS
460,16,FT924-5210,BOOKER CARIBBEAN BARBADOS
461,21,LA051789-0007,HOLMES SMALLWOOD PAUL STREET SOUTHEAST
462,56,LA051490-0101,DREXEL BOWMAN STANDARD POOR WALL
463,20,FT932-13625,FFR870M ACCOR
464,98,FT941-5416,INDUSTRIAL SERVICES RELATIONS IRS
465,11,LA010590-0070,BUILDING WESTWOOD
466,90,FBIS4-34282,PERU PEREZ CUELLAR
467,81,FT924-5210,BARBADOS GUYANA CARIBBEAN
468,58,FBIS3-45990,STATES LIU CHEN CHINA
469,90,FT931-8400,DIAGHILEV
470,13,FT924-13307,GRANTED LLOYDS TURNOVER GLOWING
471,64,LA060690-0032,NAVEJA LABELLE MACARTHUR
472,58,FT933-8371,FRANCE FNAC GMF
473,2,FBIS3-17404,RUSSIAN
474,48,FBIS4-51698,APRIL PROVINCE NADK DIVISION ROUTE
475,36,FT933-3294,DISAPPOINTING WALL STREET
476,100,FBIS3-45990,AIG STATES
477,19,LA110389-0020,WATTERS WEEKS LANCASTER THURSDAY ANTELOPE
478,43,FT932-2039,TEAM WALES POUNDS LONDON COLLEGE
479,5,FT921-4678,MP
480,14,FT944-6308,SEPTEMBER CITY BTR
481,45,FBIS4-47649,AMMAN YEMEN SANAA JORDANIAN YEMENI
482,56,LA061189-0151,SALVADOR
483,65,LA041389-0183,JOHN BERNARDI
484,96,FT934-9396,NOTTINGHAMSHIRE NATIONAL
485,88,LA121090-0040,KLEEMAN VAN GENNIP GERMANY CALGARY
486,21,LA041389-0183,SOUTH PASADENA BERNARDI EFFICIENT JOHN
